Model,CV Score,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.7963306534735106,0.8617886178861789,0.84,0.9882352941176471,0.9081081081081082,0.8018575851393189
Decision Tree,0.6883735312306741,0.7642276422764228,0.8255813953488372,0.8352941176470589,0.8304093567251462,0.7202786377708978
Random Forest,0.7760049474335189,0.8292682926829268,0.8478260869565217,0.9176470588235294,0.8813559322033898,0.7959752321981425
